,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 9",50,35,6135,1355,185,2416.482517,5839387.755,85,335,5168.333333,43.33333333,43.33333333,4796.538462,119.5678271,-1574.411765,0.520259829
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 7",50,4,5784,1166.5,14,2332.200338,5439158.418,4,24,4824,4,4.416666667,4454.384615,111.1704682,-1557.176471,0.482843173
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 11",50,55,6955,1915,655,2630.744443,6920816.327,55,1855,6105,55,55,5778.076923,149.819928,-1755.588235,0.689192875
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 10",50,21,6471,1641,471,2466.427641,6083265.306,171,1071,5571,46,46,5224.846154,132.5330132,-1606.058824,0.613578765
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 10",50,35,6135,1345,185,2420.870142,5860612.245,85,285,5160,43.33333333,43.33333333,4785,119.0876351,-1572.647059,0.514220383
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 8",50,4,5784,1168.1,14,2331.401149,5435431.316,9,34,4825.666667,4.416666667,4.833333333,4456.307692,111.2348139,-1557.152941,0.483733748
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 12",50,55,6955,1975,955,2568.56984,6597551.02,355,1555,6055,105,105,5708.846154,144.057623,-1554.411765,0.668418815
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 11",50,21,6471,1641,471,2466.427641,6083265.306,171,1071,5571,46,46,5224.846154,132.5330132,-1606.058824,0.613578765
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 11",50,35,6135,1345,185,2420.870142,5860612.245,85,285,5160,43.33333333,43.33333333,4785,119.0876351,-1572.647059,0.514220383
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 9",50,4,5784,1171,19,2329.96365,5428730.612,4,44,4827.333333,4,4,4459.384615,111.4045618,-1558.411765,0.485810159
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 13",50,55,6955,1975,955,2568.56984,6597551.02,355,1555,6055,105,105,5708.846154,144.057623,-1554.411765,0.668418815
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 12",50,21,6471,1641,471,2466.427641,6083265.306,171,1071,5571,46,46,5224.846154,132.5330132,-1606.058824,0.613578765
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 12",50,35,6135,1345,185,2420.870142,5860612.245,85,285,5160,43.33333333,43.33333333,4785,119.0876351,-1572.647059,0.514220383
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 10",50,4,5784,1169,9,2330.96065,5433377.551,9,39,4826.5,4.833333333,4.833333333,4458.230769,111.3085234,-1558.058824,0.48455814
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 14",50,55,6955,1975,955,2568.56984,6597551.02,355,1555,6055,105,105,5708.846154,144.057623,-1554.411765,0.668418815
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 13",50,21,6471,1641,471,2466.427641,6083265.306,171,1071,5571,46,46,5224.846154,132.5330132,-1606.058824,0.613578765
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 13",50,35,6135,1335,135,2426.890174,5889795.918,35,335,5168.333333,35,35,4796.538462,120.0480192,-1606.176471,0.519958503
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 11",50,4,5784,1168.6,19,2331.146,5434241.673,9,29,4824.833333,4,4.833333333,4455.923077,111.2240096,-1556.388235,0.483745658
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 15",50,55,6955,1963,955,2571.971371,6615036.735,355,1555,6055,105,105,5708.846154,143.5102041,-1553,0.661595036
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 14",50,21,6471,1641,471,2466.427641,6083265.306,171,1071,5571,46,46,5224.846154,132.5330132,-1606.058824,0.613578765
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 14",50,35,6135,1335,135,2426.890174,5889795.918,35,335,5168.333333,35,35,4796.538462,120.0480192,-1606.176471,0.519958503
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 12",50,4,5784,1169.7,19,2330.597062,5431682.663,9,34,4825.666667,4.416666667,4.833333333,4457.076923,111.2631453,-1556.247059,0.484314209
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 15",50,35,6135,1335,135,2426.890174,5889795.918,35,335,5168.333333,35,35,4796.538462,120.0480192,-1606.176471,0.519958503
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 15",50,21,6471,1611,321,2494.565522,6222857.143,21,1221,5596,21,21,5259.461538,135.4141657,-1706.647059,0.626177271
