, Absolute Distance to BestKnownHypervolume, Best known hypervolume, BestKnownFront, Crowding, Encoding.ProblemSize, Execution Time, Generational Distance, Hypervolume, Pareto Front, ProblemSize, ReferencePoint, Seed, Spacing, TestFunction
NSGA-II Run 25, 0.17096824459258642, 1331, [[1;0;0][0.148995292019639;0;0.988837905298933][0.0221995970440176;0.147332192460103;0.988837905298933][...]], 0.38021193035524592, 70, 00:06:25.4835848, 0.46606658316401678, 1330.8290317554074, [[1;0;0][3.74915180455534E-33;6.18459476120009E-17;1.01005433164642][6.12303176911189E-17;0;3.34437357498595][...]], 70, [11;11;11], 1701373702, 0.48008309231209861, DTLZ4
NSGA-II Run 26, 0.11586307418860997, 1331.0000000000002, [[1;0;0][0.148995292019639;0;0.988837905298933][0.0221995970440176;0.147332192460103;0.988837905298933][...]], 0.314722086467577, 70, 00:07:34.8813121, 0.31048571000130826, 1330.8841369258116, [[1;0;0][6.11362341849582E-17;2.04248660251594;0.113357077476596][6.12303176905643E-17;1.93894212364716E-21;7.44058897867804][...]], 70, [11;11;11], 991018878, 0.77961582940634888, DTLZ4
NSGA-II Run 27, 0.097161409367117813, 1331, [[1;0;0][0.148995292019639;0;0.988837905298933][0.0221995970440176;0.147332192460103;0.988837905298933][...]], 0.33177373620946582, 70, 00:06:35.4747962, 0.41898333012025107, 1330.9028385906329, [[1;0;0][3.74915180455534E-33;6.16355410539997E-17;1.00661801829814][6.12303176911189E-17;4.93503829875764E-136;3.91528921945828][...]], 70, [11;11;11], 230114377, 0.30949413705621032, DTLZ4
NSGA-II Run 28, 0.17147900719305653, 1331, [[1;0;0][0.148995292019639;0;0.988837905298933][0.0221995970440176;0.147332192460103;0.988837905298933][...]], 0.33842181069030514, 70, 00:07:11.7689833, 0.45719943557847315, 1330.8285209928069, [[1;0;0][3.74915180455534E-33;6.14391643254585E-17;1.0034108370202][6.12303176911189E-17;3.04701635841815;0][...]], 70, [11;11;11], 1110467710, 0.44103790050791736, DTLZ4
NSGA-II Run 29, 0.12983971671042127, 1331, [[1;0;0][0.148995292019639;0;0.988837905298933][0.0221995970440176;0.147332192460103;0.988837905298933][...]], 0.21673377040251943, 70, 00:07:10.3705070, 0.22176466045696, 1330.8701602832896, [[1;0;0][6.12303176911189E-17;0;3.25220837160902][3.74915180455534E-33;6.1633579024498E-17;1.00658597486646][...]], 70, [11;11;11], 1318389386, 0.13522592050291518, DTLZ4
NSGA-II Run 30, 0.0711933983061499, 1330.9999999999998, [[1;0;0][0.148995292019639;0;0.988837905298933][0.0221995970440176;0.147332192460103;0.988837905298933][...]], 0.29976571172094285, 70, 00:07:15.9976500, 0.20493345054266388, 1330.9288066016936, [[1;0;0][3.74915180455534E-33;6.16935172122204E-17;1.00756487208572][6.12303176911183E-17;6.53254608174598E-23;7.94988402932582][...]], 70, [11;11;11], 2081203504, 0.91112419893692287, DTLZ4
NSGA-II Run 31, 0.24498304383268987, 1331, [[1;0;0][0.148995292019639;0;0.988837905298933][0.0221995970440176;0.147332192460103;0.988837905298933][...]], 0.28908828597112207, 70, 00:06:28.2570429, 0.38458551613291614, 1330.7550169561673, [[1;0;0][3.74915180455534E-33;6.1655012877878E-17;1.00693602781716][6.12303176911189E-17;0;2.58951473220292][...]], 70, [11;11;11], 246492511, 0.14935762468556735, DTLZ4
NSGA-II Run 32, 0.076772199103743333, 1331, [[1;0;0][0.148995292019639;0;0.988837905298933][0.0221995970440176;0.147332192460103;0.988837905298933][...]], 0.13299682456885012, 70, 00:13:07.5355129, 0.039596866904195449, 1330.9232278008963, [[1;0;0][3.74915180455534E-33;6.15260236427701E-17;1.00482940417103][6.12303176911189E-17;0;1.08775972175878][...]], 70, [11;11;11], 19647449, 0.044076039978115461, DTLZ4
NSGA-II Run 33, 0.025912106290206793, 1331, [[1;0;0][0.148995292019639;0;0.988837905298933][0.0221995970440176;0.147332192460103;0.988837905298933][...]], 0.36912602213489804, 70, 00:06:36.9583152, 0.38960995179059554, 1330.9740878937098, [[1;0;0][3.74915180455534E-33;6.1505900781854E-17;1.00450076205917][6.12303176911189E-17;2.6790025018842;4.52802288326129E-08][...]], 70, [11;11;11], 1848370917, 0.79929931671452725, DTLZ4
NSGA-II Run 34, 0.12699569949927536, 1330.9999999999995, [[1;0;0][0.148995292019639;0;0.988837905298933][0.0221995970440176;0.147332192460103;0.988837905298933][...]], 0.55100292724001176, 70, 00:07:02.5377837, 0.775531304466132, 1330.8730043005003, [[1;0;0][3.74915180455534E-33;6.15361330331128E-17;1.00499450849719][6.12303176911189E-17;1.23599933874788E-64;11.963123733666][...]], 70, [11;11;11], 1493102240, 0.69893702628633747, DTLZ4
NSGA-II Run 35, 0.13064297613664166, 1331, [[1;0;0][0.148995292019639;0;0.988837905298933][0.0221995970440176;0.147332192460103;0.988837905298933][...]], 0.27063009601847327, 70, 00:13:08.5914633, 0.23641059833006828, 1330.8693570238634, [[1;0;0][3.74915180455534E-33;6.17427392879137E-17;1.0083687561345][6.12303176911052E-17;2.3276649138952;1.55626691125182E-06][...]], 70, [11;11;11], 978231554, 0.0891718245489442, DTLZ4
NSGA-II Run 9, 0.013244230160125881, 1324.8276735914314, [[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]], 0.098447678592945842, 40, 00:03:17.9546786, 0.0012039037766826467, 1324.8144293612713, [[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.697944966623952;0.697944966623951;0.160454501739846][...]], 40, [11;11;11], 1948404799, 0.012517704823486948, DTLZ6
NSGA-II Run 10, 0.013795034171835141, 1324.7644556353464, [[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]], 0.10496140610626727, 70, 00:01:48.6963338, 0.00549346997836849, 1324.7506606011746, [[4.33421718009633E-17;4.36797940752817E-17;1.00496433166268][0.707854879138949;0.713369739965596;0][0.713369289290606;0.707854825643184;0][...]], 70, [11;11;11], 1401810251, 0.016390993801883264, DTLZ5
NSGA-II Run 36, 0.062369956999873466, 1331, [[1;0;0][0.148995292019639;0;0.988837905298933][0.0221995970440176;0.147332192460103;0.988837905298933][...]], 0.32456073257459289, 70, 00:12:39.7932333, 0.4237547866954835, 1330.9376300430001, [[1;0;0][3.74915180455534E-33;6.17011078042454E-17;1.00768883995509][6.12303176911189E-17;3.0438303003549;0][...]], 70, [11;11;11], 152487157, 0.21677770569465662, DTLZ4
NSGA-II Run 37, 0.17116407433218228, 1331.0000000000002, [[1;0;0][0.148995292019639;0;0.988837905298933][0.0221995970440176;0.147332192460103;0.988837905298933][...]], 0.45103177439701148, 70, 00:06:46.6442035, 0.53714290493570926, 1330.828835925668, [[1;0;0][3.74915180455534E-33;6.16888130549059E-17;1.00748804482936][6.12303176911189E-17;1.81905976703878;2.44223656547849E-08][...]], 70, [11;11;11], 1307285339, 0.4434142230531925, DTLZ4
NSGA-II Run 38, 0.14985319080324189, 1331, [[1;0;0][0.148995292019639;0;0.988837905298933][0.0221995970440176;0.147332192460103;0.988837905298933][...]], 0.25978355613093229, 70, 00:13:32.7527470, 0.34000063217036475, 1330.8501468091968, [[1;0;0][3.74915180455534E-33;6.17321098216868E-17;1.00819515804408][6.12303176911189E-17;0;3.94326269670952][...]], 70, [11;11;11], 1529209986, 0.086560524108277678, DTLZ4
NSGA-II Run 39, 0.20470651038908727, 1331, [[1;0;0][0.148995292019639;0;0.988837905298933][0.0221995970440176;0.147332192460103;0.988837905298933][...]], 0.36065773101796539, 70, 00:10:14.5550947, 0.34574695013583573, 1330.7952934896109, [[1;0;0][3.74915180455534E-33;6.16298300546845E-17;1.00652474752101][6.12303176911189E-17;1.77000046385762;0][...]], 70, [11;11;11], 1493636783, 1.0321579613482612, DTLZ4
NSGA-II Run 40, 4.6677569116582163E-06, 1331, [[1;0;0][0.148995292019639;0;0.988837905298933][0.0221995970440176;0.147332192460103;0.988837905298933][...]], 0.41748862518327789, 70, 00:10:57.8817934, 0.47301079113252015, 1330.9999953322431, [[1;0;0][3.74915180455534E-33;6.16264924658296E-17;1.00647023875834][6.12303176911188E-17;3.33559484043907;1.39312821251172E-07][...]], 70, [11;11;11], 1328327458, 0.5363919375718893, DTLZ4
NSGA-II Run 41, 0.080120055577708627, 1331.0000000000002, [[1;0;0][0.148995292019639;0;0.988837905298933][0.0221995970440176;0.147332192460103;0.988837905298933][...]], 0.48339941929748614, 70, 00:09:36.2703593, 0.81295093909312077, 1330.9198799444225, [[1;0;0][3.74915180455534E-33;6.16131198777908E-17;1.00625184060947][6.12302948048398E-17;4.39395114974786E-19;8.29983418388248][...]], 70, [11;11;11], 1016033359, 0.20179129211505595, DTLZ4
