,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 23",45,26,9026,2966,00:00.0,3006.368241,9038250,326,5276,7294.181818,53.27272727,53.27272727,6988.5,212.7272727,-1714,0.863676482
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 23",50,15,7015,1449,00:00.0,2018.952042,4076167.347,165,2115,4156.666667,60.83333333,60.83333333,3915,107.8223289,-1192.647059,0.606072174
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 37",50,55,6955,1915,00:00.0,2623.753348,6884081.633,355,1855,6105,105,105,5778.076923,146.9387755,-1685,0.666477904
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 24",40,182,10982,3234.5,00:00.0,3230.304225,10434865.38,782,4682,7202,332,332,7202,236.0881801,-1369.219512,0.73000232
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 24",45,26,9026,2416,00:00.0,2943.803199,8665977.273,326,5276,6639.636364,53.27272727,53.27272727,6526,192.2924901,-1814.434783,0.73603116
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 24",50,15,7015,1385,00:00.0,2040.70816,4164489.796,165,1115,4198.333333,31.66666667,40,3961.153846,106.9243697,-1234.647059,0.583378649
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 38",50,55,6655,1657,00:00.0,2540.969604,6456526.531,355,955,5705,80,80,5247.307692,130.2136855,-1533.235294,0.558050185
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 25",40,182,10982,3962,00:00.0,3826.707764,14643692.31,482,7382,9182,182,182,8822,303.8273921,-1962.634146,0.861520982
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 39",50,55,6955,1915,00:00.0,2594.892943,6733469.388,55,1555,6055,55,105,5662.692308,143.2509004,-1594.647059,0.647611817
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 25",45,26,9026,2542.666667,00:00.0,2828.909202,8002727.273,326,3776,6653.272727,53.27272727,53.27272727,6413.5,191.284585,-1665.594203,0.788698525
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 25",50,15,7015,1092,00:00.0,1668.25737,2783082.653,165,1315,3123.333333,40,40,2941.923077,77.54381753,-807.8235294,0.459121029
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 40",50,55,6955,1711,00:00.0,2684.130232,7204555.102,55,1255,6005,55,55,5547.307692,141.5510204,-1757,0.590986793
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 26",40,182,10982,3602,00:00.0,3331.527716,11099076.92,782,5882,8672,332,332,8672,260.8255159,-1484.097561,0.837675649
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 26",50,15,7015,1517,00:00.0,2041.532038,4167853.061,65,2265,4244.166667,44.16666667,44.16666667,4091.923077,113.4645858,-1262.882353,0.656397925
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 26",45,26,9026,2652.666667,00:00.0,2676.91308,7165863.636,476,5276,6298.727273,94.18181818,121.4545455,6213.5,185.0592885,-1418.637681,0.824408264
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 21",50,3,5978,669.4,00:00.0,1788.769398,3199695.959,8,188,2600.5,5.083333333,5.083333333,2409.923077,67.48235294,-983.9176471,0.302434029
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 27",40,182,10982,3684.5,00:00.0,3494.867115,12214096.15,482,4382,8672,182,182,8672,274.9249531,-1676.536585,0.845725814
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 27",50,15,7015,1389,00:00.0,1895.220627,3591861.224,165,2415,3948.333333,60.83333333,60.83333333,3830.384615,100.72509,-1078.764706,0.600225876
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 27",45,26,9026,2052.666667,00:00.0,2777.048793,7712000,326,1226,6353.272727,53.27272727,53.27272727,5926,169.3280632,-1672.550725,0.641327644
